"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","433","Check task ""Fix navigation bug"" is in column ""To Do"" and has tags ""Bug""","chromium","Fri Sep 12 16:30:42 UTC 2025","passed","Fri Sep 12 16:30:42 UTC 2025","Check columns and tags for tasks","dashboard/projectsPageTests.spec.ts","",""
"","325","Check task ""App icon design"" is in column ""Done"" and has tags ""Design""","chromium","Fri Sep 12 16:30:43 UTC 2025","passed","Fri Sep 12 16:30:44 UTC 2025","Check columns and tags for tasks","dashboard/projectsPageTests.spec.ts","",""
"","323","Check task ""Push notification system"" is in column ""To Do"" and has tags ""Feature""","chromium","Fri Sep 12 16:30:43 UTC 2025","passed","Fri Sep 12 16:30:43 UTC 2025","Check columns and tags for tasks","dashboard/projectsPageTests.spec.ts","",""
"","333","Check task ""Offline mode"" is in column ""In Progress"" and has tags ""Feature,High Priority""","chromium","Fri Sep 12 16:30:43 UTC 2025","passed","Fri Sep 12 16:30:43 UTC 2025","Check columns and tags for tasks","dashboard/projectsPageTests.spec.ts","",""
"","539","Login with valid credentials","chromium","Fri Sep 12 16:30:41 UTC 2025","passed","Fri Sep 12 16:30:42 UTC 2025","","login/loginPageTests.spec.ts","",""
"","288","Login with """" and ""password123""","chromium","Fri Sep 12 16:30:42 UTC 2025","passed","Fri Sep 12 16:30:42 UTC 2025","Login with empty Username","login/loginPageTests.spec.ts","",""
"","229","Login with ""admin"" and ""PASSWORD123""","chromium","Fri Sep 12 16:30:44 UTC 2025","passed","Fri Sep 12 16:30:44 UTC 2025","Login with invalid credentials","login/loginPageTests.spec.ts","",""
"","362","Login with "" "" and "" ""","chromium","Fri Sep 12 16:30:44 UTC 2025","passed","Fri Sep 12 16:30:44 UTC 2025","Login with invalid credentials","login/loginPageTests.spec.ts","",""
"","566","Check task ""Implement user authentication"" is in column ""To Do"" and has tags ""Feature,High Priority""","chromium","Fri Sep 12 16:30:41 UTC 2025","passed","Fri Sep 12 16:30:42 UTC 2025","Check columns and tags for tasks","dashboard/projectsPageTests.spec.ts","",""
"","265","Login with ""ADMIN"" and ""password123""","chromium","Fri Sep 12 16:30:44 UTC 2025","passed","Fri Sep 12 16:30:44 UTC 2025","Login with invalid credentials","login/loginPageTests.spec.ts","",""
"","300","Login with """" and """"","chromium","Fri Sep 12 16:30:42 UTC 2025","passed","Fri Sep 12 16:30:42 UTC 2025","Login with empty Username","login/loginPageTests.spec.ts","",""
"","277","Login with empty Password","chromium","Fri Sep 12 16:30:42 UTC 2025","passed","Fri Sep 12 16:30:43 UTC 2025","","login/loginPageTests.spec.ts","",""
"","283","Login with ""wrongUserName123"" and ""wrongPassword123""","chromium","Fri Sep 12 16:30:43 UTC 2025","passed","Fri Sep 12 16:30:44 UTC 2025","Login with invalid credentials","login/loginPageTests.spec.ts","",""
"","259","Login with ""admin"" and ""wrongPassword""","chromium","Fri Sep 12 16:30:43 UTC 2025","passed","Fri Sep 12 16:30:43 UTC 2025","Login with invalid credentials","login/loginPageTests.spec.ts","",""
"","270","Login with ""wrongUserName"" and ""password123""","chromium","Fri Sep 12 16:30:43 UTC 2025","passed","Fri Sep 12 16:30:43 UTC 2025","Login with invalid credentials","login/loginPageTests.spec.ts","",""
"","346","Check task ""Design system updates"" is in column ""In Progress"" and has tags ""Design""","chromium","Fri Sep 12 16:30:42 UTC 2025","passed","Fri Sep 12 16:30:43 UTC 2025","Check columns and tags for tasks","dashboard/projectsPageTests.spec.ts","",""
